,name,ratings,review_count,ctype,years,hq,employees
44,Startek,3.2,(5.4k Reviews),Public,6 years old,"Mumbai,Maharashtra + 53 more",10k-50k Employees (India)
45,HDFC Life,4.1,(5.3k Reviews),Public,1 years old,"Mumbai,Maharashtra + 457 more",10k-50k Employees (India)
46,Dr. Reddy's,4.2,(5.3k Reviews),Public,39 years old,"Hyderabad/Secunderabad,Telangana + 145 more",10k-50k Employees (India)
47,Yes Bank,3.9,(5.3k Reviews),Public,19 years old,"Mumbai,Maharashtra + 399 more",10k-50k Employees (India)
48,Asian Paints,4.2,(5.3k Reviews),Public,81 years old,"Mumbai,Maharashtra + 372 more",10k-50k Employees (India)
49,Cipla Pharmaceut...,4.1,(5.2k Reviews),Public,88 years old,"Mumbai,Maharashtra + 196 more",10k-50k Employees (India)
50,Sutherland Globa...,3.8,(5.2k Reviews),Private,37 years old,"Pittsford,New York + 43 more",10k-50k Employees (India)
51,NTT DATA,4,(5k Reviews),Private,35 years old,"Chiyoda City,Tokyo + 45 more",10k-50k Employees (India)
52,Jana Small Finan...,3.8,(4.9k Reviews),Public,17 years old,"Bangalore/Bengaluru,Karnataka + 323 more",10k-50k Employees (India)
53,ICICI Prudential...,4.1,(4.9k Reviews),Public,23 years old,"Mumbai,Maharashtra + 417 more",10k-50k Employees (India)
54,Udaan,4,(4.8k Reviews),Private,7 years old,"Bangalore,Karnataka + 326 more",1k-5k Employees (India)
55,EXL Service,3.9,(4.8k Reviews),Private,24 years old,"New York City,New York + 35 more",10k-50k Employees (India)
56,HCL Group,3.8,(4.8k Reviews),Chennai + 64 more,1 Lakh+ Employees (India),47 years old,
57,Lupin,4.1,(4.8k Reviews),Public,55 years old,"Mumbai,Maharashtra + 141 more",10k-50k Employees (India)
58,KPMG,3.7,(4.7k Reviews),Partnership,36 years old,Bengaluru/Bangalore + 66 more,10k-50k Employees (India)
59,UltraTech Cement,4.2,(4.7k Reviews),Public,40 years old,"Mumbai,Maharashtra + 383 more",10k-50k Employees (India)
60,Bajaj Finance,4.1,(4.5k Reviews),Private,36 years old,"Pune,Maharashtra + 677 more",10k-50k Employees (India)
61,Paytm,3.6,(4.5k Reviews),Public,13 years old,Noida + 260 more,10k-50k Employees (India)
62,Bandhan Bank,3.8,(4.5k Reviews),Public,22 years old,"Kolkata,West Bengal + 632 more",50k-1 Lakh Employees (India)
63,L&T Infotech,3.8,(4.5k Reviews),Public,27 years old,"Mumbai,Maharashtra + 69 more",10k-50k Employees (India)
64,Indian Army,4.7,(4.5k Reviews),Public,128 years old,"New Delhi,Delhi + 290 more",1 Lakh+ Employees (India)
65,ITC,3.9,(4.4k Reviews),Public,48 years old,"Kolkata,West Bengal + 262 more",10k-50k Employees (India)
66,Mindtree,4,(4.3k Reviews),Public,24 years old,"Bangalore/Bengaluru,Karnataka + 27 more",10k-50k Employees (India)
67,Ujjivan Small Fi...,4.1,(4.3k Reviews),Public,6 years old,"Bangalore/Bengaluru,Karnataka + 395 more",10k-50k Employees (India)
68,Hindustan Unilev...,4.3,(4.2k Reviews),Public,90 years old,"Mumbai,Maharashtra + 384 more",10k-50k Employees (India)
69,JP Morgan Chase,4.2,(4.2k Reviews),Private,23 years old,"New York,New York + 25 more",10k-50k Employees (India)
70,AU Small Finance...,4.2,(4.2k Reviews),Private,27 years old,"Jaipur,Rajasthan + 325 more",10k-50k Employees (India)
71,Delhivery,4.1,(4.2k Reviews),Private,12 years old,"Delhi,NCT + 526 more",10k-50k Employees (India)
72,Wells Fargo,4.2,(4.2k Reviews),Public,171 years old,"San Francisco,California + 15 more",10k-50k Employees (India)
73,IIFL Finance,3.8,(4.1k Reviews),Public,28 years old,"Mumbai,Maharashtra + 572 more",10k-50k Employees (India)
74,Home Credit Fina...,4.2,(4.1k Reviews),Private,11 years old,Gurugram + 107 more,5k-10k Employees (India)
75,Quess,4,(3.9k Reviews),Public,16 years old,Bangalore + 431 more,1 Lakh+ Employees (India)
76,Amazon Developme...,4.3,(3.9k Reviews),Hyderabad/Secunderabad + 45 more,,,
77,Sun Pharmaceutic...,4.1,(3.9k Reviews),Public,40 years old,Mumbai + 167 more,10k-50k Employees (India)
78,OPPO,3.9,(3.9k Reviews),Public,19 years old,"Dongguan,Guangdong + 345 more",10k-50k Employees (India)
79,TATA Steel,4.2,(3.9k Reviews),Public,116 years old,"Mumbai,Maharashtra + 130 more",1 Lakh+ Employees (India)
80,Ashok Leyland,4.1,(3.8k Reviews),Public,75 years old,"Chennai,Tamil Nadu + 197 more",10k-50k Employees (India)
81,Hexaware Technol...,3.7,(3.8k Reviews),Private,33 years old,"Mumbai,Maharashtra + 32 more",10k-50k Employees (India)
82,Shapoorji Pallon...,4.2,(3.8k Reviews),Private,158 years old,"Mumbai,Maharashtra + 146 more",5k-10k Employees (India)
83,Shriram Transpor...,4.1,(3.8k Reviews),Public,44 years old,"Mumbai,Maharashtra + 730 more",10k-50k Employees (India)
84,JSW Steel,3.9,(3.8k Reviews),Public,41 years old,"Mumbai,Maharashtra + 109 more",10k-50k Employees (India)
85,Vivo,4,(3.7k Reviews),Private,14 years old,"Gurgaon/Gurugram,Haryana + 346 more",5k-10k Employees (India)
86,Aurobindo Pharma,4,(3.7k Reviews),Public,37 years old,"Hyderabad/Secunderabad,Telangana + 53 more",10k-50k Employees (India)
87,Zydus Cadila,4.2,(3.7k Reviews),Public,71 years old,"Ahmedabad, India + 119 more",10k-50k Employees (India)
88,Max Life Insuran...,4.2,(3.7k Reviews),JV,23 years old,"Gurgaon/Gurugram,Haryana + 337 more",10k-50k Employees (India)
89,eClerx,3.5,(3.7k Reviews),Public,23 years old,"Mumbai,Maharashtra + 14 more",10k-50k Employees (India)
90,Muthoot Finance,3.6,(3.7k Reviews),Public,84 years old,"Kochi/Cochin,Kerala + 536 more",10k-50k Employees (India)
91,Siemens,4.2,(3.7k Reviews),Public,176 years old,"Munich,Bavaria + 107 more",5k-10k Employees (India)
92,Mahindra & Mahin...,4.3,(3.7k Reviews),Public,32 years old,"Mumbai,Maharashtra + 595 more",10k-50k Employees (India)
93,Apollo Hospitals,4.1,(3.7k Reviews),Public,40 years old,"San Francisco,California + 167 more",50k-1 Lakh Employees (India)
94,Oracle,3.9,(3.6k Reviews),Public,46 years old,"Austin,Texas + 35 more",50k-1 Lakh Employees (India)
95,Tata Projects,4.2,(3.6k Reviews),Public,44 years old,"Mumbai,Maharashtra + 215 more",10k-50k Employees (India)
96,JLL,4.2,(3.5k Reviews),Private,26 years old,"Mumbai,Maharashtra + 62 more",5k-10k Employees (India)
97,First Source,3.9,(3.5k Reviews),Public,22 years old,"Mumbai,Maharashtra + 47 more",10k-50k Employees (India)
98,Nokia,4.3,(3.5k Reviews),Private,158 years old,"Espoo,Southern Finland + 171 more",10k-50k Employees (India)
99,Hewlett-Packard ...,4.3,(3.5k Reviews),Private,8 years old,"Houston,Texas + 87 more",10k-50k Employees (India)
100,Hero MotoCorp,4.2,(3.5k Reviews),Public,39 years old,"Gurgaon/Gurugram,Haryana + 282 more",5k-10k Employees (India)
101,JustDial,3.6,(3.4k Reviews),Public,27 years old,"Mumbai,Maharashtra + 146 more",10k-50k Employees (India)
102,Bajaj Allianz Li...,4.1,(3.4k Reviews),Private,22 years old,Pune + 460 more,10k-50k Employees (India)
103,Cyient,3.7,(3.3k Reviews),Public,32 years old,"Hyderabad/Secunderabad,Telangana + 26 more",10k-50k Employees (India)
104,Fidelity Nationa...,4,(3.3k Reviews),Private,55 years old,"Jacksonville,Florida + 30 more",5k-10k Employees (India)
105,Omega Healthcare,3.8,(3.3k Reviews),Private,19 years old,Florida + 33 more,5k-10k Employees (India)
106,Megha Engineerin...,4.1,(3.3k Reviews),Private,34 years old,"Hyderabad/Secunderabad,Telangana + 240 more",1k-5k Employees (India)
107,Reliance Communi...,4,(3.2k Reviews),Public,21 years old,"Navi Mumbai,Maharashtra + 393 more",10k-50k Employees (India)
108,L&T Construction,4,(3.2k Reviews),Public,79 years old,Chennai + 281 more,10k-50k Employees (India)
109,Hyundai Motor,4.3,(3.2k Reviews),Private,56 years old,Seoul + 241 more,10k-50k Employees (India)
110,TVS Motor,4,(3.2k Reviews),Public,44 years old,"Chennai,Tamil Nadu + 249 more",10k-50k Employees (India)
111,D Mart,3.9,(3.2k Reviews),Private,4 years old,"Mumbai,Maharashtra + 188 more",10k-50k Employees (India)
112,Oyo Rooms,3.5,(3.1k Reviews),Private,10 years old,"Gurgaon,Haryana + 108 more",1k-5k Employees (India)
113,Bosch,4.3,(3.1k Reviews),Public,137 years old,"Gerlingen,Baden-Wuerttemberg + 88 more",10k-50k Employees (India)
114,Intelenet Global...,3.7,(3.1k Reviews),Private,23 years old,"Mumbai,Maharashtra + 56 more",10k-50k Employees (India)
115,BigBasket,4.1,(3.1k Reviews),Private,12 years old,"Bangalore,Karnataka + 94 more",10k-50k Employees (India)
116,Future Group,4.3,(3.1k Reviews),Private,10 years old,"Mumbai,Maharashtra + 194 more",10k-50k Employees (India)
117,Atos Syntel,3.7,(3k Reviews),Private,43 years old,"Troy,Michigan + 14 more",10k-50k Employees (India)
118,Indiamart Interm...,3.7,(3k Reviews),Private,27 years old,"Noida,Uttar Pradesh + 119 more",10k-50k Employees (India)
119,Manappuram Finan...,4,(3k Reviews),Public,74 years old,"Thrissur/Trichur,Kerala + 438 more",10k-50k Employees (India)
120,SBI Cards & Paym...,3.7,(3k Reviews),Government,25 years old,"Gurgaon/Gurugram,Haryana + 291 more",1k-5k Employees (India)
121,BNY Mellon,4.1,(3k Reviews),Private,19 years old,"New York City,New York + 11 more",5k-10k Employees (India)
122,Wipro BPS,3.8,(3k Reviews),Bengaluru + 35 more,1 Lakh+ Employees (India),23 years old,
123,Cummins,4.4,(2.9k Reviews),"Columbus,Indiana + 89 more",10k-50k Employees (India),61 years old,
124,Bosch Global Sof...,4.2,(2.9k Reviews),Private,33 years old,Gerlingen + 22 more,10k-50k Employees (India)
125,Fullerton India,4.1,(2.9k Reviews),Private,16 years old,Mumbai + 430 more,10k-50k Employees (India)
126,IQVIA,4.1,(2.9k Reviews),Partnership,41 years old,Durham + 37 more,10k-50k Employees (India)
127,UST,3.8,(2.9k Reviews),Private,22 years old,"Aliso Viejo,California + 31 more",10k-50k Employees (India)
128,Samsung,4.1,(2.9k Reviews),Public,85 years old,Seoul + 386 more,5k-10k Employees (India)
129,Amdocs,4,(2.9k Reviews),Private,41 years old,"Chesterfield,Missouri + 12 more",10k-50k Employees (India)
130,Schneider Electr...,4.1,(2.9k Reviews),Private,24 years old,Paris + 96 more,10k-50k Employees (India)
131,CBRE,4.2,(2.9k Reviews),Private,117 years old,"Los Angeles,California + 61 more",5k-10k Employees (India)
132,Nagarro,4.4,(2.9k Reviews),Private,27 years old,"Munich,Bavaria + 32 more",10k-50k Employees (India)
133,Capgemini Techno...,4,(2.8k Reviews),Bengaluru/Bangalore + 27 more,,,
134,ICICI Lombard Ge...,3.8,(2.8k Reviews),Public,22 years old,"Mumbai,Maharashtra + 222 more",5k-10k Employees (India)
135,GlobalLogic,3.8,(2.8k Reviews),Private,23 years old,"San Jose,California + 24 more",1k-5k Employees (India)
136,Virtusa Consulti...,3.8,(2.8k Reviews),Private,27 years old,"Southborough,Massachusetts + 24 more",10k-50k Employees (India)
137,JBM Group,4,(2.8k Reviews),Public,40 years old,"Gurgaon/Gurugram,Haryana + 75 more",10k-50k Employees (India)
138,Dell,4.2,(2.8k Reviews),Private,39 years old,"Round Rock,Texas + 82 more",10k-50k Employees (India)
139,Ecom Express,4.1,(2.8k Reviews),Private,11 years old,"Gurgaon,Haryana + 550 more",10k-50k Employees (India)
140,Viatris,4.3,(2.7k Reviews),"Canonsburg,Pennsylvania + 63 more",10k-50k Employees (India),62 years old,
141,State Bank of In...,3.8,(2.7k Reviews),"Mumbai,Maharashtra + 420 more",1 Lakh+ Employees (India),217 years old,
142,Bajaj Auto,3.9,(2.7k Reviews),Public,78 years old,"Pune,Maharashtra + 218 more",5k-10k Employees (India)
143,Equitas Small Fi...,4.1,(2.7k Reviews),Private,16 years old,"Chennai,Tamil Nadu + 318 more",10k-50k Employees (India)
144,Cholamandalam In...,4.1,(2.7k Reviews),Private,45 years old,"Chennai,Tamil Nadu + 534 more",5k-10k Employees (India)
145,Swiggy,4,(2.7k Reviews),Private,9 years old,"Bangalore,Karnataka + 152 more",10k-50k Employees (India)
146,Nagarjuna Constr...,4.1,(2.7k Reviews),Public,25 years old,"Hyderabad/Secunderabad,Telangana + 193 more",1k-5k Employees (India)
147,KEC Internationa...,4,(2.6k Reviews),Public,78 years old,"Mumbai,Maharashtra + 235 more",5k-10k Employees (India)
148,Godrej & Boyce M...,3.9,(2.6k Reviews),Private,126 years old,"Mumbai,Maharashtra + 119 more",10k-50k Employees (India)
149,SBI Life Insuran...,3.8,(2.6k Reviews),Government,22 years old,"Mumbai,Maharashtra + 471 more",10k-50k Employees (India)
150,Muthoot Fincorp,4,(2.6k Reviews),Private,136 years old,"Trivandrum/Thiruvananthapuram,Kerala + 483 more",10k-50k Employees (India)
151,Aditya Birla Fas...,4.2,(2.6k Reviews),Private,8 years old,Mumbai + 203 more,10k-50k Employees (India)
152,Royal Enfield,4.2,(2.6k Reviews),Private,122 years old,"Gurgaon/Gurugram,Haryana + 270 more",1k-5k Employees (India)
153,Tata Communicati...,4.2,(2.6k Reviews),Public,37 years old,"Mumbai,Maharashtra + 80 more",5k-10k Employees (India)
154,LG Electronics,4,(2.6k Reviews),Public,65 years old,"Seoul,Seoul + 216 more",10k-50k Employees (India)
155,Ekart Logistics,4.1,(2.6k Reviews),Private,14 years old,"San Francisco,California + 480 more",5k-10k Employees (India)
156,Whitehat jr,3.6,(2.6k Reviews),Private,5 years old,"Mumbai,Maharashtra + 46 more",5k-10k Employees (India)
157,John Deere,4.3,(2.6k Reviews),Private,22 years old,"Moline,Illinois + 102 more",1k-5k Employees (India)
158,Optum,4.1,(2.6k Reviews),Private,46 years old,"Prairie,USA + 21 more",10k-50k Employees (India)
159,L&T Finance,4,(2.5k Reviews),Public,29 years old,"Mumbai,Maharashtra + 433 more",10k-50k Employees (India)
160,L&T Technology S...,3.4,(2.5k Reviews),Public,11 years old,"Vadodara/Baroda,Gujarat + 30 more",10k-50k Employees (India)
161,Piramal Capital ...,4.3,(2.5k Reviews),Mumbai + 282 more,5k-10k Employees (India),3 years old,
162,Intas Pharmaceut...,4.2,(2.5k Reviews),Private,23 years old,"Ahmedabad,Gujrat + 104 more",10k-50k Employees (India)
163,UnitedHealth,4.2,(2.5k Reviews),Private,46 years old,"Minnetonka,Minnesota + 13 more",10k-50k Employees (India)
164,Hetero Drugs,3.8,(2.5k Reviews),Private,30 years old,"Hyderabad/Secunderabad,Telangana + 32 more",1k-5k Employees (India)
165,Ford Motor,4.5,(2.5k Reviews),Public,120 years old,"Dearborn,Michigan + 97 more",5k-10k Employees (India)
166,Thermax Limited,4.2,(2.5k Reviews),Public,43 years old,"Pune,Maharashtra + 137 more",5k-10k Employees (India)
167,Sodexo,4.1,(2.4k Reviews),Private,15 years old,Issy Les Moulineaux + 119 more,201-500 Employees (India)
168,Varun Beverages,4,(2.4k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 239 more",10k-50k Employees (India)
169,Abbott Healthcar...,4.2,(2.4k Reviews),Public,32 years old,"Illinois City,Illinois + 157 more",10k-50k Employees (India)
170,Subros,4,(2.4k Reviews),Public,38 years old,"Noida,Uttar Pradesh + 37 more",1k-5k Employees (India)
171,Macleods Pharmac...,3.8,(2.4k Reviews),Public,37 years old,"Mumbai,Maharashtra + 80 more",5k-10k Employees (India)
172,Motherson Sumi S...,3.8,(2.4k Reviews),Public,37 years old,"Noida,Uttar Pradesh + 62 more",5k-10k Employees (India)
173,VE Commercial Ve...,4,(2.4k Reviews),Private,15 years old,"Gurgaon/Gurugram,Haryana + 113 more",1k-5k Employees (India)
174,Randstad,3.9,(2.4k Reviews),Private,31 years old,"Chennai,Tamil Nadu + 218 more",1k-5k Employees (India)
175,Automatic Data P...,4.2,(2.4k Reviews),New Jersey + 15 more,5k-10k Employees (India),74 years old,
176,American Express,4.3,(2.3k Reviews),Private,173 years old,"New York City,New York + 36 more",10k-50k Employees (India)
177,Wipro Consumer ...,3.7,(2.3k Reviews),Private,78 years old,"Bangalore/Bengaluru,Karnataka + 79 more",1k-5k Employees (India)
178,Axis Direct,3.9,(2.3k Reviews),Private,12 years old,"San Mateo,California + 264 more",1k-5k Employees (India)
179,Havells,4.1,(2.3k Reviews),Public,40 years old,"Noida,Uttar Pradesh + 148 more",5k-10k Employees (India)
180,Wipro Infotech,4,(2.3k Reviews),Private,78 years old,Bangalore + 115 more,1 Lakh+ Employees (Global)
181,Pidilite Industr...,4.3,(2.3k Reviews),Public,64 years old,"Mumbai,Maharashtra + 195 more",5k-10k Employees (India)
182,Hindustan Coca C...,4.4,(2.3k Reviews),Private,26 years old,Bangalore + 188 more,5k-10k Employees (India)
183,Indian Air Force,4.6,(2.3k Reviews),Private,91 years old,"New Delhi,Delhi + 107 more",1 Lakh+ Employees (India)
184,Alkem Laboratori...,4,(2.3k Reviews),Public,50 years old,"Mumbai,Maharashtra + 128 more",10k-50k Employees (India)
185,CARS24,3.7,(2.3k Reviews),Private,8 years old,"Gurgaon,Haryana + 135 more",5k-10k Employees (India)
186,Bharat Electroni...,4.1,(2.3k Reviews),Private,69 years old,"Bangalore/Bengaluru,Karnataka + 36 more",5k-10k Employees (India)
187,Alembic Pharmace...,4.1,(2.2k Reviews),Public,116 years old,"Vadodara/Baroda,Gujrat + 123 more",10k-50k Employees (India)
188,Atos,3.9,(2.2k Reviews),Private,26 years old,"Vilnius,Vilniaus Apskritis + 34 more",201-500 Employees (India)
189,Deutsche Bank,4.1,(2.2k Reviews),Private,153 years old,Frankfurt + 29 more,10k-50k Employees (India)
190,Cgi Group,4.1,(2.2k Reviews),Private,47 years old,"Montreal,Quebec + 13 more",10k-50k Employees (India)
191,Vishal Mega Mart,3.8,(2.2k Reviews),Private,15 years old,"Gurgaon/Gurugram,Haryana + 292 more",10k-50k Employees (India)
192,Team Lease,3.9,(2.2k Reviews),Public,7 years old,"Bangalore/Bengaluru,Karnataka + 244 more",1k-5k Employees (India)
193,Hindalco Industr...,4.3,(2.2k Reviews),Public,65 years old,"Mumbai,Maharashtra + 71 more",10k-50k Employees (India)
194,CMS IT Services,3.2,(2.2k Reviews),Private,9 years old,"Bangalore,Karnataka + 131 more",5k-10k Employees (India)
195,DCB Bank,3.9,(2.2k Reviews),Private,93 years old,"Mumbai,Maharashtra + 274 more",5k-10k Employees (India)
196,Glenmark Pharmac...,4.1,(2.2k Reviews),Public,46 years old,"Mumbai,Maharashtra + 120 more",501-1k Employees (India)
197,ABB Group,4.1,(2.2k Reviews),Public,35 years old,Zurich + 86 more,10k-50k Employees (India)
198,Honda Motorcycle...,4.2,(2.2k Reviews),Private,24 years old,"Gurgaon/Gurugram,Haryana + 185 more",1k-5k Employees (India)
199,Ipca Laboratorie...,4,(2.2k Reviews),Public,74 years old,"Mumbai,Maharashtra + 103 more",10k-50k Employees (India)
200,Publicis Sapien...,3.6,(2.2k Reviews),Private,33 years old,"New York,New York + 14 more",10k-50k Employees (India)
201,NatWest Group,4.1,(2.2k Reviews),Government,10k-50k Employees (India),Gurgaon/Gurugram + 21 more,
202,DTDC Express,3.9,(2.1k Reviews),Private,33 years old,"Bangalore/Bengaluru,Karnataka + 201 more",1k-5k Employees (India)
203,Escorts Kubota L...,4.1,(2.1k Reviews),Public,63 years old,"Faridabad,Haryana + 117 more",10k-50k Employees (India)
204,Maersk,4.3,(2.1k Reviews),Private,119 years old,Copenhagen + 25 more,10k-50k Employees (India)
205,Standard Charter...,4,(2.1k Reviews),Private,54 years old,"London,England + 56 more",5k-10k Employees (India)
206,MRF Tyres,3.7,(2.1k Reviews),Public,77 years old,"Chennai,Tamil Nadu + 156 more",10k-50k Employees (India)
207,Reliance Nippon ...,3.9,(2.1k Reviews),Private,23 years old,"Mumbai,Maharashtra + 405 more",10k-50k Employees (India)
208,GATI-KWE,4.1,(2.1k Reviews),Private,11 years old,"Hyderabad/Secunderabad,Telangana + 151 more",1k-5k Employees (India)
209,Persistent Syste...,4,(2.1k Reviews),Public,33 years old,"Pune,Maharashtra + 16 more",10k-50k Employees (India)
210,24/7 Customer,3.6,(2.1k Reviews),Private,23 years old,"San Jose,California + 21 more",5k-10k Employees (India)
211,Shoppers Stop,4.2,(2.1k Reviews),Public,32 years old,"Mumbai,Maharashtra + 57 more",5k-10k Employees (India)
212,Bank of America,4.4,(2.1k Reviews),Private,25 years old,Charlotte + 23 more,10k-50k Employees (India)
213,Conduent,3.6,(2.1k Reviews),Private,6 years old,"Florham Park,New Jersey + 18 more",5k-10k Employees (India)
214,Aarti Industries,4.1,(2.1k Reviews),Public,48 years old,"Mumbai,Maharashtra + 36 more",5k-10k Employees (India)
215,Tata AIA Life In...,4,(2.1k Reviews),Private,22 years old,"Mumbai,Maharashtra + 250 more",10k-50k Employees (India)
216,ITC Infotech In...,3.6,(2.1k Reviews),Private,23 years old,"Bangalore/Bengaluru,Karnataka + 42 more",5k-10k Employees (India)
217,R1 RCM,3.9,(2.1k Reviews),Private,20 years old,"Murray,Utah + 16 more",5k-10k Employees (India)
218,Paras Hospital,4.7,(2.1k Reviews),Private,17 years old,"Gurgaon/Gurugram,Haryana + 28 more",5k-10k Employees (India)
219,Biocon,3.9,(2.1k Reviews),Public,45 years old,"Bangalore/Bengaluru,Karnataka + 56 more",10k-50k Employees (India)
220,Utkarsh Small Fi...,3.9,(2k Reviews),Public,14 years old,"Varanasi,Uttar Pradesh + 255 more",10k-50k Employees (India)
221,Suzlon Group,4.1,(2k Reviews),Public,28 years old,"Pune,Maharashtra + 95 more",5k-10k Employees (India)
222,Ceat Tyres,4,(2k Reviews),Public,65 years old,"Mumbai,Maharashtra + 95 more",5k-10k Employees (India)
223,Access Healthcar...,4,(2k Reviews),Private,12 years old,"Dallas,Texas + 17 more",1k-5k Employees (India)
224,Jindal Steel and...,4,(2k Reviews),Private,71 years old,"Delhi/NCR,New Delhi + 93 more",5k-10k Employees (India)
225,Indian Oil Corpo...,4.4,(2k Reviews),Private,64 years old,"Delhi/NCR,Delhi + 206 more",10k-50k Employees (India)
226,Berger Paints,3.7,(2k Reviews),Public,100 years old,"Kolkata,West Bengal + 200 more",1k-5k Employees (India)
